,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,category
45,Now & Later,0.0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,A
46,Payday,0.0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,B
47,Peanut M&Ms,1.0,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,C
48,Pixie Sticks,0.0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,D
49,Pop Rocks,0.0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,E
50,Red vines,0.0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,A
51,ReeseÕs Miniatures,1.0,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257,B
52,ReeseÕs Peanut Butter cup,1.0,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,C
53,ReeseÕs pieces,1.0,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,D
54,ReeseÕs stuffed with pieces,1.0,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,E
55,Ring pop,0.0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,A
56,Rolo,1.0,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,B
57,Root Beer Barrels,0.0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,C
58,Runts,0.0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,D
59,Sixlets,1.0,0,0,0,0,0,0,0,1,0.22,0.081,34.722,E
60,Skittles original,0.0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,A
61,Skittles wildberry,0.0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,B
62,Nestle Smarties,1.0,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,C
63,Smarties candy,0.0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827,D
64,Snickers,1.0,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782,E
65,Snickers Crisper,1.0,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,A
66,Sour Patch Kids,0.0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,B
67,Sour Patch Tricksters,0.0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,C
68,Starburst,0.0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,D
69,Strawberry bon bons,0.0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,E
70,Sugar Babies,0.0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,A
71,Sugar Daddy,0.0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,B
72,Super Bubble,0.0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,C
73,Swedish Fish,0.0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,D
74,Tootsie Pop,1.0,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,E
75,Tootsie Roll Juniors,1.0,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,A
76,Tootsie Roll Midgies,1.0,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,B
77,Tootsie Roll Snack Bars,1.0,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,C
78,Trolli Sour Bites,0.0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,D
79,Twix,1.0,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,E
80,Twizzlers,0.0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282,A
81,Warheads,0.0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898,B
82,WelchÕs Fruit Snacks,0.0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,C
83,WertherÕs Original Caramel,0.0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,D
84,Whoppers,1.0,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,E
